ARCODART;ARDESART;LICODLIS;LIDATATT;LIDATDIS;LIUNIMIS;cpccchk;LIPREZZO;LISCONT1;LISCONT2;LISCONT3;LISCONT4
351067;BOTT. 075 OLIO EVO GARDA DOP ORIENTALE E;SPACC;2025-01-01 00:00:00.000;2035-12-31 00:00:00.000;N. ;qdzttdqfhb;1100000.0;0.0;0.0;0.0;0.0
ACB01               ;BOTT. 025 ACETO BALSAMICO               ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;grgywqsjol;200000.0;0.0;0.0;0.0;0.0
ACB02               ;BOTT. 050 ACETO BALSAMICO               ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;rxgjqfqqqu;364000.0;0.0;0.0;0.0;0.0
ACV01               ;BOTT. 025 ACETO VINO ROSSO              ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;vzjrmuliib;164000.0;0.0;0.0;0.0;0.0
ACV02               ;BOTT. 050 ACETO VINO ROSSO              ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;cmfgnkrejl;223000.0;0.0;0.0;0.0;0.0
BE000101            ;BOTT. 010 OLIO EVO 100% ITA NON FILTRATO;SPACC;2025-01-01 00:00:00.000;2025-12-31 00:00:00.000;N. ;aysfqzozkj;260000.0;0.0;0.0;0.0;0.0
BE000102            ;BOTT. 025 OLIO EVO 100% ITA NON FILTRATO;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;wsoxmszvdb;385000.0;0.0;0.0;0.0;0.0
BE000103            ;BOTT. 050 OLIO EVO 100% ITA NON FILTRATO;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;brvbjhesvv;673000.0;0.0;0.0;0.0;0.0
BE000104            ;BOTT. 075 OLIO EVO 100% ITA NON FILTRATO;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;yalvixchja;1250000.0;0.0;0.0;0.0;0.0
BE000105            ;BOTT. 100 OLIO EVO 100% ITA NON FILTRATO;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;ocwrumzgmt;3606000.0;0.0;0.0;0.0;0.0
BE000106            ;BOTT. 200 OLIO EVO 100% ITA NON FILTRATO;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;oijbohumrf;6010000.0;0.0;0.0;0.0;0.0
BE000107            ;DAMA 300 OLIO EVO 100% ITA NON FILTRATO ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;dxnnznylmd;3606000.0;0.0;0.0;0.0;0.0
BE000108            ;DAMA 500 OLIO EVO 100% ITA NON FILTRATO ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;gfqifwrvzh;6010000.0;0.0;0.0;0.0;0.0
BE000117            ;LATTA 300 OLIO EVO 100% ITA NON FILTRATO;SPACC;2025-01-01 00:00:00.000;2025-12-31 00:00:00.000;N. ;cauxwqkiwr;260000.0;0.0;0.0;0.0;0.0
BE000118            ;LATTA 500 OLIO EVO 100% ITA NON FILTRATO;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;qsjshgqnxm;385000.0;0.0;0.0;0.0;0.0
BE000201            ;BOTT. 010 OLIO EVO 100% ITA ESTRATTO A F;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;czzqjlessd;673000.0;0.0;0.0;0.0;0.0
BE000202            ;BOTT. 025 OLIO EVO 100% ITA ESTRATTO A F;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;njgkghdojf;962000.0;0.0;0.0;0.0;0.0
BE000203            ;BOTT. 050 OLIO EVO 100% ITA ESTRATTO A F;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;adxqrbwbuh;1250000.0;0.0;0.0;0.0;0.0
BE000204            ;BOTT. 075 OLIO EVO 100% ITA ESTRATTO A F;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;yogydzaddz;3606000.0;0.0;0.0;0.0;0.0
BE000205            ;BOTT. 100 OLIO EVO 100% ITA ESTRATTO A F;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;jtekxmtlfk;6010000.0;0.0;0.0;0.0;0.0
BE000206            ;BOTT. 200 OLIO EVO 100% ITA ESTRATTO A F;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;bkppaobdfm;1048000.0;0.0;0.0;0.0;0.0
BE000207            ;LATTA 300 OLIO EVO 100% ITA ESTRATTO A F;SPACC;2025-01-01 00:00:00.000;2025-12-31 00:00:00.000;N. ;nynxvirucr;260000.0;0.0;0.0;0.0;0.0
BE000208            ;LATTA 500 OLIO EVO 100% ITA ESTRATTO A F;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;hiijuzzldc;1154000.0;0.0;0.0;0.0;0.0
BE000303            ;BOTT. 050 OLIO EVO GARDA DOP ORIENTALE E;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;hlxiuuiclh;4231000.0;0.0;0.0;0.0;0.0
BE000304            ;BOTT. 075 OLIO EVO GARDA DOP ORIENTALE E;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;jzlvqraclk;6731000.0;0.0;0.0;0.0;0.0
BE000401            ;BOTT. 010 LT OLIO EVO 100% ITA BIOLOGICO;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;rubhzogrsq;1010000.0;0.0;0.0;0.0;0.0
BE000403            ;BOTT. 050 LT OLIO EVO 100% ITA BIOLOGICO;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;jwlkexnbdy;1010000.0;0.0;0.0;0.0;0.0
BE000404            ;BOTT. 075 LT OLIO EVO 100% ITA BIOLOGICO;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;lbucajqlco;1058000.0;0.0;0.0;0.0;0.0
BE000406            ;BOTT. 200 OLIO EVO 100% ITA BIOLOGICO ES;SPACC;2025-01-01 00:00:00.000;2025-12-31 00:00:00.000;N. ;ofcmfiooyf;260000.0;0.0;0.0;0.0;0.0
BE000407            ;LATTA 300 OLIO EVO 100% ITA BIOLOGICO ES;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;wvhekxrrvc;1010000.0;0.0;0.0;0.0;0.0
BE000408            ;LATTA 500 OLIO EVO 100% ITA BIOLOGICO ES;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;hzlbkjxcgl;410000.0;0.0;0.0;0.0;0.0
BE000504            ;BOTT. 075 OLIO EVO 100% ITA FRANTO ESTRA;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;yvjwqhgpjv;410000.0;0.0;0.0;0.0;0.0
BE000604            ;BOTT. 075 OLIO EVO 100% ITA MOLITO ESTRA;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;bvuytljatt;410000.0;0.0;0.0;0.0;0.0
BE000704            ;BOTT. 075 OLIO EVO 100% ITA DENOCCIOLATO;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;fvrmgaxspl;410000.0;0.0;0.0;0.0;0.0
BE000801            ;"BOTT. 010 OLIO EVO 100% ITA ""OP"" ESTRATT";SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;kvaxeegxpe;410000.0;0.0;0.0;0.0;0.0
BE000803            ;"BOTT. 050 OLIO EVO 100% ITA ""OP"" ESTRATT";SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;pajfaooiva;410000.0;0.0;0.0;0.0;0.0
BE000804            ;"BOTT. 075 OLIO EVO 100% ITA ""OP"" ESTRATT";SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;jgmzqimyoc;410000.0;0.0;0.0;0.0;0.0
BE000901            ;BOTT. 025 OLIO EVO AROMA AGLIO          ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;hkdqcosqvx;500000.0;0.0;0.0;0.0;0.0
BE000902            ;BOTT. 025 OLIO EVO AROMA AGLIO PEPERONCI;SPACC;2024-01-01 00:00:00.000;2025-12-31 00:00:00.000;N. ;utekcfjpgu;1038000.0;0.0;0.0;0.0;0.0
BE000903            ;BOTT. 025 OLIO EVO AROMA BASILICO       ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;dfaliirexf;182000.0;0.0;0.0;0.0;0.0
BE000904            ;BOTT. 025 OLIO EVO AROMA PORCINO        ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;wlxhdmwkoq;182000.0;0.0;0.0;0.0;0.0
BE000905            ;BOTT. 025 OLIO EVO AROMA LIMONE         ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;ypozdozhxt;182000.0;0.0;0.0;0.0;0.0
BE000906            ;BOTT. 025 OLIO EVO AROMA PEPERONCINO    ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;fmfnreelbe;182000.0;0.0;0.0;0.0;0.0
BE000907            ;BOTT. 025 OLIO EVO AROMA ROSMARINO      ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;wkutdlfpmp;818000.0;0.0;0.0;0.0;0.0
BE000908            ;BOTT. 025 OLIO EVO AROMA TARTUFO        ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;xwenjvvrni;636000.0;0.0;0.0;0.0;0.0
BE001007            ;LATTA 300 OLIO EVO UE ESTRATTO A FREDDO ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;tjxffizjdh;636000.0;0.0;0.0;0.0;0.0
BE001008            ;LATTA 500 OLIO EVO UE ESTRATTO A FREDDO ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;davziixcfp;636000.0;0.0;0.0;0.0;0.0
BE001107            ;LATTA 300 OLIO EVO 100% ITA ESFR_S      ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;fwgqrfupmp;636000.0;0.0;0.0;0.0;0.0
BE001108            ;LATTA 500 OLIO EVO 100% ITA ESFR_S      ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;iiispwtuoo;636000.0;0.0;0.0;0.0;0.0
BE01A01             ;BOTT. 075 OLIO EVO ODG GARDA DOP - ART.1;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;safqcfgvlh;636000.0;0.0;0.0;0.0;0.0
BE01A105            ;BOTT. 050 OLIO EVO ODG GARDA DOP DESPAR ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;KG ;drkxsuejjw;1250000.0;0.0;0.0;0.0;0.0
BE01A1111           ;BOTT. 025 OLIO EVO ZETA CLASSICO - ART.1;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;rocmvynlwh;205000.0;0.0;0.0;0.0;0.0
BE01A1112           ;BOTT. 050 OLIO EVO ZETA CLASSICO - ART.1;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;dwsiczvlzn;410000.0;0.0;0.0;0.0;0.0
BE01A1121           ;BOTT. 025 OLIO EVO ZETA EKO - ART.1121  ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;qibaeqjlsx;410000.0;0.0;0.0;0.0;0.0
BE01A1122           ;BOTT. 050 OLIO EVO ZETA EKO - ART.1122  ;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;zdiivgkzol;328000.0;0.0;0.0;0.0;0.0
BE01A1125           ;BOTT. 050 OLIO EVO ZETA ORIGINALE - ART.;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;osdpzczecz;533000.0;0.0;0.0;0.0;0.0
BE01A1162           ;BOTT. 050 OLIO EVO ZETA AROMA LIMONE - A;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;hyhnfhkhmk;205000.0;0.0;0.0;0.0;0.0
BE01A1167           ;BOTT. 025 OLIO EVO ZETA AROMA LIMONE - A;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;baivukbohl;1599000.0;0.0;0.0;0.0;0.0
BE01A1168           ;BOTT. 025 OLIO EVO ZETA AROMA PEPERONCIN;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;xzglpuhtqe;615000.0;0.0;0.0;0.0;0.0
BE01A1172           ;BOTT. 025 OLIO EVO ZETA FRUTTATO - ART.1;SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;uiqzvtrsbb;984000.0;0.0;0.0;0.0;0.0
BE01A125OSB         ;"BOTT. 025 OLIO EVO GARDA DOP ""OLEIFICIO ";SPACC;2024-01-01 00:00:00.000;2029-12-31 00:00:00.000;N. ;tyzbdalxac;328000.0;0.0;0.0;0.0;0.0
